event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_best
TTQ2672,"19 February 2024",2024,1,"Political violence","Violence against civilians",Attack,"Unidentified Gang (Trinidad and Tobago)",,3,"Civilians (Trinidad and Tobago)",,7,37,"Civilian targeting",780,Caribbean,"Trinidad and Tobago","San Juan-Laventille",,,Morvant,10.6577,-61.4759,1,"Loop News Trinidad and Tobago; Trinidad and Tobago Guardian",National,"On 19 February 2024, in Morvant, San Juan-Laventille, four masked men entered a house by force and shot and killed a man. A woman who was with the man was not injured. The attack was described as gang-related. The perpetrators fled the scene by walk. 1 fatality.",1,,1708988329,20739
TTQ2661,"18 February 2024",2024,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Trinidad and Tobago)",,3,"Civilians (Trinidad and Tobago)","Military Forces of Trinidad and Tobago (2015-)",7,37,"Civilian targeting",780,Caribbean,"Trinidad and Tobago","Diego Martin",,,"Diego Martin",10.7208,-61.5662,1,"Loop News Trinidad and Tobago; Trinidad and Tobago Guardian",National,"On 18 February 2024, in Diego Martin, Diego Martin, overnight, two armed men exited a vehicle and opened fire on a group of people who were standing on La Puerta Avenue (drive-by). A man was killed and three others were injured. The deceased was an off-duty military officer. The motivation for the attack was not clarified. The perpetrators fled the scene. 1 fatality, 3 injured.",1,,1708988329,29056
TTQ2664,"18 February 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Trinidad and Tobago)","Christian Group (Trinidad and Tobago)",6,,,0,60,,780,Caribbean,"Trinidad and Tobago","Port of Spain",,,"Port of Spain",10.6667,-61.5189,1,"Newsday Trinidad and Tobago",National,"On 18 February 2024, in Port of Spain, Port of Spain, some 150 pro-Israel citizens held a march around the Red House in support of the Israel state and their actions to defend against Hamas attacks. The protest was led by a Christian Bishop and joined by representatives of the Understanding Israel Foundation (UIF). Protesters held Israel flags.",0,"crowd size=some 150",1708988329,5020
TTQ2669,"18 February 2024",2024,1,"Strategic developments","Strategic developments","Looting/property destruction","Police Forces of Trinidad and Tobago (2015-)",,1,"Unidentified Gang (Trinidad and Tobago)",,3,13,,780,Caribbean,"Trinidad and Tobago","Princes Town",,,Moruga,10.0878,-61.2807,1,"Newsday Trinidad and Tobago; Trinidad and Tobago Guardian",National,"Property destruction: On 18 February 2024, in Moruga, Princes Town, police forces destroyed 1,600 cannabis trees found in three lots of land during an anti-drugs operation in the district. Three men, described as drugs offenders, were arrested.",0,,1708988329,
TTQ2670,"18 February 2024",2024,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Trinidad and Tobago)",,3,"Civilians (Trinidad and Tobago)",,7,37,"Civilian targeting",780,Caribbean,"Trinidad and Tobago","Princes Town",,,Palmyra,10.2854,-61.4236,1,"Trinidad and Tobago Guardian",National,"On 18 February 2024, in Palmyra, Princes Town, in the morning, two armed men approached a parked car occupied by a man and a woman and opened fire on them after having asked for a gun and getting no answer. The man was killed and the woman was injured. The motivation for the attack is unknown. The shooters fled the scene in a vehicle. 1 fatality, 1 injured.",1,,1708988329,4878
TTQ2675,"18 February 2024",2024,1,"Strategic developments","Strategic developments","Looting/property destruction","Police Forces of Trinidad and Tobago (2015-)",,1,"Unidentified Gang (Trinidad and Tobago)",,3,13,,780,Caribbean,"Trinidad and Tobago",Tobago,,,Scarborough,11.1823,-60.7353,1,"Loop News Trinidad and Tobago; Newsday Trinidad and Tobago; Trinidad and Tobago Guardian",National,"Property destruction: On 18 February 2024, in Scarborough, Tobago, police forces seized 1,109 kg of cocaine in plastic bags washed ashore on Cove Estate street, near Tobago beach. The drug was valued at over 500,000 Trinidad and Tobago dollars. Authorities are investigating whether the drug came in a sunken barge that had been found days before on the coast.",0,,1708988329,
TTQ2663,"17 February 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Trinidad and Tobago)","JTUM: Joint Trade Union Movement; Labor Group (Trinidad and Tobago); Muslim Group (Trinidad and Tobago)",6,,,0,60,,780,Caribbean,"Trinidad and Tobago","Port of Spain",,,"Port of Spain",10.6667,-61.5189,1,"Newsday Trinidad and Tobago",National,"On 17 February 2024, in Port of Spain, Port of Spain, members of the Concerned Muslims of Trinidad and Tobago (CMTT) group held a pro-Palestine march at the Queen's Park Savannah demanding a cease fire in the Gaza Strip. The CMTT was supported by the Joint Trade Union Movement, among other groups.",0,"crowd size=no report",1708988329,5020
TTQ2678,"17 February 2024",2024,1,"Political violence","Violence against civilians",Attack,"Police Forces of Trinidad and Tobago (2015-)",,1,"Civilians (Trinidad and Tobago)",,7,17,"Civilian targeting",780,Caribbean,"Trinidad and Tobago","Tunapuna Piarco",,,Tunapuna,10.6525,-61.3888,1,"Loop News Trinidad and Tobago; Newsday Trinidad and Tobago; Trinidad and Tobago Guardian",National,"On 17 February 2024, in Tunapuna, Tunapuna Piarco, in the early morning, police forces shot and killed two men and a pregnant woman at an apartment in Monte Grande area as they executed a search warrant. According to the officers, the now deceased opened fire on them, leading to a clash as they returned fire. Several witnesses denied the police version and claimed that the officers opened fire without warning. One of the deceased men was a popular social media personality. He was live on social media when the officers entered the apartment. He could be heard screaming and begging for his life before the video was stopped by one of the officers. The killed woman was the girlfriend of one of the deceased men. 3 fatalities.",3,,1708988329,7084
TTQ2656,"15 February 2024",2024,1,"Strategic developments","Strategic developments","Looting/property destruction","Police Forces of Trinidad and Tobago (2015-)",,1,"Unidentified Gang (Trinidad and Tobago)",,3,13,,780,Caribbean,"Trinidad and Tobago",Couva-Tabaquite-Talparo,,,"Claxton Bay",10.3664,-61.4599,1,"Newsday Trinidad and Tobago; Trinidad and Tobago Guardian",National,"Property destruction: On 15 February 2024, in Claxton Bay, Couva-Tabaquite-Talparo, overnight, police forces seized more than 1 tone of marijuana in a vehicle on Cedar Hill Road. Three men were arrested.",0,,1708384045,
TTQ2657,"15 February 2024",2024,2,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Trinidad and Tobago)",,3,"Civilians (Trinidad and Tobago)",,7,37,"Civilian targeting",780,Caribbean,"Trinidad and Tobago",Couva-Tabaquite-Talparo,,,Couva,10.4225,-61.4675,1,"Loop News Trinidad and Tobago; Newsday Trinidad and Tobago; Trinidad and Tobago Guardian",National,"Around 15 February 2024 (as reported), in Couva, Couva-Tabaquite-Talparo, a man was killed (methods unknown) and his body was found with hands tied up in the back and a wound to the head in a bushy area off the roadway, in Mc Bean village. Motivation and perpetrators unknown. 1 fatality.",1,,1708384045,15463
TTQ2658,"15 February 2024",2024,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Trinidad and Tobago)",,3,"Civilians (Trinidad and Tobago)",,7,37,"Civilian targeting",780,Caribbean,"Trinidad and Tobago","San Juan-Laventille",,,Morvant,10.6577,-61.4759,1,"Loop News Trinidad and Tobago",National,"On 15 February 2024, in Morvant, San Juan-Laventille, an unknown number of armed individuals in a moving vehicle opened fire of a group of people standing along Coconut Drive, injuring three (drive-by). Motivation unknown. The shooters fled the scene. 3 injured.",0,,1708384045,21764
TTQ2655,"14 February 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Trinidad and Tobago)","Students (Trinidad and Tobago); Teachers (Trinidad and Tobago)",6,,,0,60,,780,Caribbean,"Trinidad and Tobago",Tobago,,,"Patience Hill",11.1868,-60.7693,1,"Newsday Trinidad and Tobago",National,"On 14 February 2024, in Patience Hill, Tobago, in the morning, students and members of the Parent Teachers Association (PTA) held a protest march with banners against violence.",0,"crowd size=no report",1708384045,1970
TTQ2654,"13 February 2024",2024,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Trinidad and Tobago)",,3,"Civilians (Trinidad and Tobago)","Women (Trinidad and Tobago)",7,37,"Civilian targeting",780,Caribbean,"Trinidad and Tobago","Tunapuna Piarco",,,Tunapuna,10.6525,-61.3888,1,"Loop News Trinidad and Tobago",National,"On 13 February 2024, in Tunapuna, Tunapuna-Piarco, overnight, an armed man exited a vehicle (driven by an accomplice) and shot and injured two women in Monte Grande area, one of them being a girl. Motivation unknown. The shooters fled the scene. 2 injured.",0,"women targeted: girls",1708384045,7706
TTQ2653,"12 February 2024",2024,2,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Trinidad and Tobago)",,3,"Civilians (Trinidad and Tobago)",,7,37,"Civilian targeting",780,Caribbean,"Trinidad and Tobago","Princes Town",,,Williamsville,10.3128,-61.383,1,"Loop News Trinidad and Tobago; Newsday Trinidad and Tobago",National,"Around 12 February 2024 (as reported), in Williamsville, Princes Town, a man was killed (methods unknown) and his body was found partially burned and in a state of decomposition in an area used to burn garbage behind his home. Motivation and perpetrators are unknown. 1 fatality.",1,,1708384045,9632
TTQ2652,"11 February 2024",2024,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Trinidad and Tobago)",,3,"Civilians (Trinidad and Tobago)","Women (Trinidad and Tobago)",7,37,"Civilian targeting",780,Caribbean,"Trinidad and Tobago",Couva-Tabaquite-Talparo,,,Gasparillo,10.317,-61.426,1,"Loop News Trinidad and Tobago; Newsday Trinidad and Tobago; Trinidad and Tobago Guardian",National,"On 11 February 2024, in Gasparillo, Couva-Tabaquite-Talparo, in the morning, an armed man in a moving vehicle (driven by an accomplice) opened fire on the occupants of a car, killing a man and a woman and injuring another woman in the vicinity of the Gasparillo Overpass (drive-by). Another version stated that the armed man exited the vehicle before opening fire. As the driver lost control, the vehicle crashed through the barrier at the Paria Fuel Trading Company compound. The victims were on their way to the Piarco International Airport when the shooting took place. Motivation unknown. The perpetrators fled the scene in the getaway vehicle. 2 fatalities, 1 injured.",2,,1708384045,12272
TTQ2677,"10 February 2024",2024,2,Demonstrations,Protests,"Peaceful protest","Protesters (Trinidad and Tobago)","Labor Group (Trinidad and Tobago); Students (Trinidad and Tobago)",6,,,0,60,,780,Caribbean,"Trinidad and Tobago","Tunapuna Piarco",,,Arouca,10.6288,-61.3349,1,"Trinidad and Tobago Guardian",National,"Around 10 February 2024 (between 1 - 19 February), in Arouca, Tunapuna Piarco, students and staff members from the Five Rivers Secondary School held a march for peace and unity of the country.",0,"crowd size=no report",1708988329,11769
TTQ2647,"08 February 2024",2024,1,"Strategic developments","Strategic developments","Looting/property destruction","Police Forces of Trinidad and Tobago (2015-)",,1,"Unidentified Gang (Trinidad and Tobago)",,3,13,,780,Caribbean,"Trinidad and Tobago","Sangre Grande",,,"Guaico Tamana",10.4821,-61.1499,1,"Loop News Trinidad and Tobago; Trinidad and Tobago Guardian",National,"Property destruction: On 8 February 2024, in Guaico Tamana, Sangre Grande, police forces destroyed more than 1,000 grown trees of marijuana during an intervention in a forested area of Romain Trace. Two men were arrested. Ammunition and weapons were seized.",0,,1707826178,
TTQ2648,"05 February 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Trinidad and Tobago)","Labor Group (Trinidad and Tobago)",6,,,0,60,,780,Caribbean,"Trinidad and Tobago",Tobago,,,Scarborough,11.1823,-60.7353,1,"Newsday Trinidad and Tobago; Trinidad and Tobago Guardian",National,"On 5 February 2024, in Scarborough, Tobago, carnival bandleaders held a protest with banners outside the Division of Tourism, Culture, Antiquities and Transportation office to decry carnival shake-up and a money cut in carnival prizes. The protest was joined by the Tobago Bandleaders Association Marcellin Nedd.",0,"crowd size=no report",1708384045,2773
TTQ2651,"04 February 2024",2024,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Trinidad and Tobago)",,3,"Civilians (Trinidad and Tobago)",,7,37,"Civilian targeting",780,Caribbean,"Trinidad and Tobago","Tunapuna Piarco",,,Arouca,10.6288,-61.3349,1,"Loop News Trinidad and Tobago; Trinidad and Tobago Guardian",National,"On 4 February 2024, in Arouca, Tunapuna Piarco, overnight, four masked men exited a vehicle and opened fire on a group of people standing along Rice Mill Road . A man was shot and killed. Two others were injured. Motivation unknown. The shooters fled the scene in the getaway vehicle. 1 fatality, 2 injured.",1,,1707826178,18296
TTQ2649,"03 February 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Trinidad and Tobago)",,6,,,0,60,,780,Caribbean,"Trinidad and Tobago",Siparia,,,Fyzabad,10.1811,-61.5458,2,"Trinidad and Tobago Guardian",National,"On 3 February 2024, near Fyzabad, Siparia, residents from Mon Desir held a march with banners to decry poor road conditions and to demand the authorities to fix them.",0,"crowd size=no report",1707826178,4204
TTQ2650,"03 February 2024",2024,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Trinidad and Tobago)",,3,"Civilians (Trinidad and Tobago)",,7,37,"Civilian targeting",780,Caribbean,"Trinidad and Tobago","Tunapuna Piarco",,,Caroni,10.6057,-61.3817,1,"Loop News Trinidad and Tobago; Trinidad and Tobago Guardian",National,"On 3 February 2024, in Caroni, Tunapuna Piarco, an armed man exited a vehicle (driven by another individual) and opened fire on a man who was walking along Mar Allen Street with his kids. One source stated that the man was injured, while another one stated he was not. Motivation unknown. The shooter entered the waiting vehicle and fled. Casualties unknown.",0,,1707826178,2868
TTQ2638,"01 February 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Trinidad and Tobago)","Labor Group (Trinidad and Tobago); OWTU: Oilfield Workers' Trade Union; UNC: United National Congress",6,,,0,60,,780,Caribbean,"Trinidad and Tobago",Couva-Tabaquite-Talparo,,,Pointe-a-Pierre,10.3228,-61.4453,1,"Loop News Trinidad and Tobago; Newsday Trinidad and Tobago",National,"On 1 February 2024, in Pointe-a-Pierre, Couva-Tabaquite-Talparo, in the morning, a group of relatives, supported by members of the OWTU union and the United National Congress (UNC), held a protest with banners outside the Paria Fuel Trading Company's facilities demanding justice and compensation for the families of four divers who died while working on 25 February 2022.",0,"crowd size=no report",1707185538,5149
TTQ2643,"01 February 2024",2024,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Trinidad and Tobago)",,3,"Civilians (Trinidad and Tobago)",,7,37,"Civilian targeting",780,Caribbean,"Trinidad and Tobago","San Fernando",,,"Saint Joseph",10.2845,-61.447,1,"Loop News Trinidad and Tobago",National,"On 1 February 2024, in Saint Joseph, San Fernando, an unknown number of armed individuals in a moving vehicle opened fire on a man who was standing outside his home, on Hutton Street (drive-by). The victim was seen fleeing on foot. He died later that day due to the gunshot wounds. The perpetrators fled the scene. Motivation unknown. 1 fatality.",1,,1707185538,10585
TTQ2644,"01 February 2024",2024,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Trinidad and Tobago)",,3,"Civilians (Trinidad and Tobago)",,7,37,"Civilian targeting",780,Caribbean,"Trinidad and Tobago","San Juan-Laventille",,,Morvant,10.6577,-61.4759,1,"Loop News Trinidad and Tobago; Trinidad and Tobago Guardian",National,"On 1 February 2024, in Morvant, San Juan-Laventille, in the morning, an unknown number of armed individuals in a moving vehicle opened fire on a man driving a car along Ramirez Street, injuring him (drive-by). He died later that day. Another version stated that two masked men exited the vehicle before shooting at the victim. The driver lost control and the vehicle crashed. The perpetrators fled the scene. Motivation unknown. 1 fatality.",1,,1707185538,20739
TTQ2642,"31 January 2024",2024,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Trinidad and Tobago)",,3,"Civilians (Trinidad and Tobago)",,7,37,"Civilian targeting",780,Caribbean,"Trinidad and Tobago","Tunapuna Piarco",,,"La Horquetta",10.5935,-61.2747,1,"Loop News Trinidad and Tobago; Trinidad and Tobago Guardian",National,"On 31 January 2024, in La Horquetta, Tunapuna Piarco, overnight, two masked men approached a 19-year-old boy when he was standing next to his house, in Phase 7 area, and opened fire on him. He was injured. Motivation unknown. 1 injured.",0,,1707185538,12276
TTQ2646,"31 January 2024",2024,2,"Political violence","Violence against civilians",Attack,"Unidentified Gang (Trinidad and Tobago)",,3,"Civilians (Trinidad and Tobago)",,7,37,"Civilian targeting",780,Caribbean,"Trinidad and Tobago",Penal-Debe,,,Penal,10.1684,-61.4526,1,"Loop News Trinidad and Tobago; Trinidad and Tobago Guardian",National,"Around 31 January 2024 (as reported), in Penal, Penal-Debe, a man was shot and killed and his body was found in a bushy area known as 'Dog Patch', located near Smart street. The victim was described as a 'drug man' and the place where the corpse was found was said to be a drug selling point. The attack is not ruled out to be gang-related. 1 fatality.",1,,1707185538,27211
TTQ2645,"30 January 2024",2024,1,"Strategic developments","Strategic developments",Arrests,"Military Forces of Trinidad and Tobago (2015-)",,1,"Civilians (International)","Refugees/IDPs (International)",7,17,,780,Caribbean,"Trinidad and Tobago",Siparia,,,"Coast of Siparia",10.2665,-61.622,3,"Loop News Trinidad and Tobago; Trinidad and Tobago Guardian",National,"On 30 January 2024, off the Coast of Siparia, Siparia, in the morning, Trinidad and Tobago coast guards intercepted and arrested 27 undocumented migrants in a boat near Islote Point as they tried to enter the territory illegally. The group was integrated by 16 men, 8 women, and three boys.",0,,1707185538,
TTQ2641,"28 January 2024",2024,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Trinidad and Tobago)",,3,"Civilians (Trinidad and Tobago)",,7,37,"Civilian targeting",780,Caribbean,"Trinidad and Tobago","Port of Spain",,,"Port of Spain",10.6667,-61.5189,1,"Trinidad and Tobago Guardian",National,"On 28 January 2024, in Port of Spain, Port of Spain, an unknown number of armed individuals in a vehicle opened fire near the corner of Charlotte and Oxford Streets, injuring a man on his back (drive-by). Motivation unknown. 1 injured.",0,,1707185538,11048
TTQ2640,"27 January 2024",2024,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Trinidad and Tobago)",,3,"Civilians (Trinidad and Tobago)",,7,37,"Civilian targeting",780,Caribbean,"Trinidad and Tobago","San Juan-Laventille",,,Morvant,10.6577,-61.4759,1,"Loop News Trinidad and Tobago",National,"On 27 January 2024, in Morvant, San Juan-Laventille, in the morning, two armed individuals shot and injured a man and a woman who were inside their house on Superville Hill area. The shooters, who opened fire from outside the property, fled the scene. Motivation unknown. 2 injured.",0,,1707185538,21764
TTQ2636,"26 January 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Trinidad and Tobago)","Labor Group (Trinidad and Tobago)",6,,,0,60,,780,Caribbean,"Trinidad and Tobago","Port of Spain",,,"Port of Spain",10.6667,-61.5189,1,"Trinidad and Tobago Guardian",National,"On 26 January 2024, in Port of Spain, Port of Spain, for the second consecutive day, a group of around 80 vendors from the Queen's Park Savannah held a protest outside the Magistrates' Court asking for permission to sell alcoholic beverages for the National Panorama semi-finals, held on 26 January.",0,"crowd size=around 80",1707185538,5020
TTQ2639,"26 January 2024",2024,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Trinidad and Tobago)",,3,"Civilians (Trinidad and Tobago)",,7,37,"Civilian targeting",780,Caribbean,"Trinidad and Tobago","San Juan-Laventille",,,"Santa Cruz",10.7099,-61.4738,1,"Loop News Trinidad and Tobago; Trinidad and Tobago Guardian",National,"On 26 January 2024, in Santa Cruz, San Juan-Laventille, two masked armed men, dressed in black clothing, exited a car and shot and injured two teenager boys who were walking home after a football match in Cantaro village neighbourhood. The perpetrators fled the scene in the getaway vehicle. The motivation for the attack is unknown. 2 injured.",0,,1707185538,9531
TTQ2621,"25 January 2024",2024,1,Demonstrations,Protests,"Peaceful protest","Protesters (Trinidad and Tobago)","OWTU: Oilfield Workers' Trade Union; Labor Group (Trinidad and Tobago); UNC: United National Congress",6,,,0,60,,780,Caribbean,"Trinidad and Tobago",Couva-Tabaquite-Talparo,,,Pointe-a-Pierre,10.3228,-61.4453,1,"Loop News Trinidad and Tobago; Newsday Trinidad and Tobago; Trinidad and Tobago Guardian",National,"On 25 January 2024, in Pointe-a-Pierre, Couva-Tabaquite-Talparo, in the morning, a group of relatives, supported by members of the OWTU union, held a protest with banners outside the Paria Fuel Trading Company's facilities demanding justice and compensation for the families of four divers who died while working on 25 February 2022. The protest was joined by a leader of United National Congress party and Member at the Parliament (MP). Police officers were present, although no intervention on their side was mentioned.",0,"crowd size=no report",1706579780,5149
TTQ2625,"25 January 2024",2024,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Trinidad and Tobago)",,3,"Civilians (Trinidad and Tobago)",,7,37,"Civilian targeting",780,Caribbean,"Trinidad and Tobago","Port of Spain",,,"Port of Spain",10.6667,-61.5189,1,"Trinidad and Tobago Guardian",National,"On 25 January 2024, in Port of Spain, Port of Spain, an unknown number of armed individuals in a moving vehicle opened fire on a man driving a car on Thornhill Street, in the Belmont community (drive-by). The victim lost the control of his car and crashed, although he managed to escape unharmed (drive-by). The motivation for the attack is unknown. There were no casualties.",0,,1706579780,11048
TTQ2628,"25 January 2024",2024,1,Demonstrations,Riots,"Violent demonstration","Rioters (Trinidad and Tobago)",,5,,,0,50,,780,Caribbean,"Trinidad and Tobago","San Fernando",,,"Saint Joseph",10.2845,-61.447,1,"Loop News Trinidad and Tobago; Newsday Trinidad and Tobago; Trinidad and Tobago Guardian",National,"On 25 January 2024, in Saint Joseph, San Fernando, overnight, residents held a demonstration along the Priority Bus Route to decry the killing of a man by police forces earlier that day (coded separately). Demonstrators set up barricades of burning debris, interrupting road traffic. The officers stated that the man died amidst an armed clash with the policemen, but residents claimed that he was killed in cold blood.",0,"crowd size=no report",1706579780,10583
